dataset,size,algorithm,time_us,char_comparisons
"random",2300,"msd_radix_sort_with_quick",552,18089
"random",2400,"standard_quicksort",221,81846
"random",2400,"standard_mergesort",1134,35419
"random",2400,"string_quicksort",728,44746
"random",2400,"string_mergesort",457,21782
"random",2400,"msd_radix_sort",408,0
"random",2400,"msd_radix_sort_with_quick",558,19505
"random",2500,"standard_quicksort",226,93497
"random",2500,"standard_mergesort",1164,37331
"random",2500,"string_quicksort",730,43652
"random",2500,"string_mergesort",514,22772
"random",2500,"msd_radix_sort",423,0
"random",2500,"msd_radix_sort_with_quick",591,20089
"random",2600,"standard_quicksort",242,99488
"random",2600,"standard_mergesort",1223,39309
"random",2600,"string_quicksort",719,47433
"random",2600,"string_mergesort",464,23843
"random",2600,"msd_radix_sort",415,0
"random",2600,"msd_radix_sort_with_quick",560,21675
"random",2700,"standard_quicksort",222,97001
"random",2700,"standard_mergesort",1165,41000
"random",2700,"string_quicksort",763,53304
"random",2700,"string_mergesort",492,24914
"random",2700,"msd_radix_sort",442,0
"random",2700,"msd_radix_sort_with_quick",593,22660
"random",2800,"standard_quicksort",235,97821
"random",2800,"standard_mergesort",1216,43172
"random",2800,"string_quicksort",805,58571
"random",2800,"string_mergesort",483,25954
"random",2800,"msd_radix_sort",456,0
"random",2800,"msd_radix_sort_with_quick",598,22917
"random",2900,"standard_quicksort",237,96974
"random",2900,"standard_mergesort",1243,45276
"random",2900,"string_quicksort",842,57504
"random",2900,"string_mergesort",500,27005
"random",2900,"msd_radix_sort",500,0
"random",2900,"msd_radix_sort_with_quick",651,24545
"random",3000,"standard_quicksort",255,105676
"random",3000,"standard_mergesort",1327,47244
"random",3000,"string_quicksort",869,62175
"random",3000,"string_mergesort",555,28124
"random",3000,"msd_radix_sort",507,0
"random",3000,"msd_radix_sort_with_quick",680,25598
"reverse_sorted",100,"standard_quicksort",4,3230
"reverse_sorted",100,"standard_mergesort",20,1427
"reverse_sorted",100,"string_quicksort",24,1386
"reverse_sorted",100,"string_mergesort",13,381
"reverse_sorted",100,"msd_radix_sort",21,0
"reverse_sorted",100,"msd_radix_sort_with_quick",21,826
"reverse_sorted",200,"standard_quicksort",7,6864
"reverse_sorted",200,"standard_mergesort",38,2933
"reverse_sorted",200,"string_quicksort",44,2858
"reverse_sorted",200,"string_mergesort",24,785
"reverse_sorted",200,"msd_radix_sort",37,0
"reverse_sorted",200,"msd_radix_sort_with_quick",45,1726
"reverse_sorted",300,"standard_quicksort",12,10388
"reverse_sorted",300,"standard_mergesort",78,3631
"reverse_sorted",300,"string_quicksort",69,3992
"reverse_sorted",300,"string_mergesort",37,1178
"reverse_sorted",300,"msd_radix_sort",52,0
"reverse_sorted",300,"msd_radix_sort_with_quick",60,2504
"reverse_sorted",400,"standard_quicksort",16,15515
"reverse_sorted",400,"standard_mergesort",98,6018
"reverse_sorted",400,"string_quicksort",114,6080
"reverse_sorted",400,"string_mergesort",51,1573
"reverse_sorted",400,"msd_radix_sort",82,0
"reverse_sorted",400,"msd_radix_sort_with_quick",79,3325
"reverse_sorted",500,"standard_quicksort",18,18331
"reverse_sorted",500,"standard_mergesort",129,6744
"reverse_sorted",500,"string_quicksort",116,7054
"reverse_sorted",500,"string_mergesort",60,1858
"reverse_sorted",500,"msd_radix_sort",94,0
"reverse_sorted",500,"msd_radix_sort_with_quick",109,4227
"reverse_sorted",600,"standard_quicksort",25,22808
"reverse_sorted",600,"standard_mergesort",156,7636
"reverse_sorted",600,"string_quicksort",134,8856
"reverse_sorted",600,"string_mergesort",78,2355
"reverse_sorted",600,"msd_radix_sort",108,0
"reverse_sorted",600,"msd_radix_sort_with_quick",121,5061
"reverse_sorted",700,"standard_quicksort",26,27116
"reverse_sorted",700,"standard_mergesort",187,9786
"reverse_sorted",700,"string_quicksort",164,10234
"reverse_sorted",700,"string_mergesort",94,2784
"reverse_sorted",700,"msd_radix_sort",128,0
"reverse_sorted",700,"msd_radix_sort_with_quick",155,6200
"reverse_sorted",800,"standard_quicksort",33,35746
"reverse_sorted",800,"standard_mergesort",199,12323
"reverse_sorted",800,"string_quicksort",197,12692
"reverse_sorted",800,"string_mergesort",99,3136
"reverse_sorted",800,"msd_radix_sort",154,0
"reverse_sorted",800,"msd_radix_sort_with_quick",182,6467
"reverse_sorted",900,"standard_quicksort",35,37650
"reverse_sorted",900,"standard_mergesort",234,14795
"reverse_sorted",900,"string_quicksort",221,16322
"reverse_sorted",900,"string_mergesort",121,3485
"reverse_sorted",900,"msd_radix_sort",161,0
"reverse_sorted",900,"msd_radix_sort_with_quick",181,7699
"reverse_sorted",1000,"standard_quicksort",39,41198
"reverse_sorted",1000,"standard_mergesort",292,13976
"reverse_sorted",1000,"string_quicksort",252,15987
"reverse_sorted",1000,"string_mergesort",127,3770
"reverse_sorted",1000,"msd_radix_sort",164,0
"reverse_sorted",1000,"msd_radix_sort_with_quick",218,8877
"reverse_sorted",1100,"standard_quicksort",44,46473
"reverse_sorted",1100,"standard_mergesort",340,13813
"reverse_sorted",1100,"string_quicksort",250,17955
"reverse_sorted",1100,"string_mergesort",148,4329
"reverse_sorted",1100,"msd_radix_sort",182,0
"reverse_sorted",1100,"msd_radix_sort_with_quick",236,9184
"reverse_sorted",1200,"standard_quicksort",48,48709
"reverse_sorted",1200,"standard_mergesort",342,15850
"reverse_sorted",1200,"string_quicksort",307,20503
"reverse_sorted",1200,"string_mergesort",169,4734
"reverse_sorted",1200,"msd_radix_sort",219,0
"reverse_sorted",1200,"msd_radix_sort_with_quick",293,10042
"reverse_sorted",1300,"standard_quicksort",69,53808
"reverse_sorted",1300,"standard_mergesort",422,17997
"reverse_sorted",1300,"string_quicksort",312,22014
"reverse_sorted",1300,"string_mergesort",165,5131
"reverse_sorted",1300,"msd_radix_sort",218,0
"reverse_sorted",1300,"msd_radix_sort_with_quick",260,11170
"reverse_sorted",1400,"standard_quicksort",58,60042
"reverse_sorted",1400,"standard_mergesort",419,20225
"reverse_sorted",1400,"string_quicksort",343,27790
"reverse_sorted",1400,"string_mergesort",175,5536
"reverse_sorted",1400,"msd_radix_sort",228,0
"reverse_sorted",1400,"msd_radix_sort_with_quick",282,12036
"reverse_sorted",1500,"standard_quicksort",62,63896
"reverse_sorted",1500,"standard_mergesort",450,22637
"reverse_sorted",1500,"string_quicksort",353,25597
"reverse_sorted",1500,"string_mergesort",185,5907
"reverse_sorted",1500,"msd_radix_sort",240,0
"reverse_sorted",1500,"msd_radix_sort_with_quick",296,12990
"reverse_sorted",1600,"standard_quicksort",64,68294
"reverse_sorted",1600,"standard_mergesort",496,25325
"reverse_sorted",1600,"string_quicksort",396,28122
"reverse_sorted",1600,"string_mergesort",218,6320
"reverse_sorted",1600,"msd_radix_sort",261,0
"reverse_sorted",1600,"msd_radix_sort_with_quick",335,13386
"reverse_sorted",1700,"standard_quicksort",80,75294
"reverse_sorted",1700,"standard_mergesort",533,28026
"reverse_sorted",1700,"string_quicksort",434,31219
"reverse_sorted",1700,"string_mergesort",215,6770
"reverse_sorted",1700,"msd_radix_sort",278,0
"reverse_sorted",1700,"msd_radix_sort_with_quick",373,14536
"reverse_sorted",1800,"standard_quicksort",70,73584
"reverse_sorted",1800,"standard_mergesort",553,30613
"reverse_sorted",1800,"string_quicksort",445,31351
"reverse_sorted",1800,"string_mergesort",226,6975
"reverse_sorted",1800,"msd_radix_sort",317,0
"reverse_sorted",1800,"msd_radix_sort_with_quick",363,15186
